web-scraper-order,web-scraper-start-url,price,location,address,type,nobeds,nobath,sqft_price,size,pagination,pagination-href
"1647924423-17570","https://www.edgeprop.my/buy/johor/all-residential?page=29","RM 458,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647920648-5391","https://www.edgeprop.my/buy/johor/all-residential?page=638","RM 160,000","Full Loan Single Storey Low Cost","Ulu Tiram, Johor","Landed","3 beds","1 bath","RM -","- sqft","",""
"1647919831-2496","https://www.edgeprop.my/buy/johor/all-residential?page=782","RM 440,000EdgeProp Only","Taman Daya","Off Jalan Daya, Johor Bahru, Johor","Landed","3 beds","2 bath","2 carpark","RM 305/sqft","",""
"1647923052-13130","https://www.edgeprop.my/buy/johor/all-residential?page=251","RM 968,000EdgeProp Only","Imperia @ Puteri Harbour","Jalan Laksamana 1, Off Persiaran Puteri Selatan, Kota Iskandar, Johor","Non Landed","3 + 1 beds","4 bath","2 carpark","RM 529/sqft","",""
"1647922458-11545","https://www.edgeprop.my/buy/johor/all-residential?page=330","RM 980,000EdgeProp Only","Senibong Cove","Jalan Persiaran Senibong, Permas Jaya, Masai, Johor","Landed","4 + 1 beds","4 bath","2 carpark","RM -","",""
"1647922570-11832","https://www.edgeprop.my/buy/johor/all-residential?page=316","RM 940,000EdgeProp Only","Setia Eco Cascadia","Jalan Eco Cascadia, Johor Bahru, Johor","Landed","5 + 1 beds","6 bath","RM 315/sqft","2,982 sqft","",""
"1647922388-11285","https://www.edgeprop.my/buy/johor/all-residential?page=343","RM 638,000EdgeProp Only","Taman Perling","Jalan Camar, Jalan Undan, Jalan Pekaka, Johor Bahru, Johor","Landed","4 beds","3 bath","RM 202/sqft","3,150 sqft","",""
"1647924511-17831","https://www.edgeprop.my/buy/johor/all-residential?page=16","RM 350,000EdgeProp Only","Taman Bukit Flora","Jalan Bukit Flora 2/4, Batu Pahat, Johor","Landed","4 beds","3 bath","RM -","- sqft","",""
"1647924272-16986","https://www.edgeprop.my/buy/johor/all-residential?page=58","RM 330,000EdgeProp Only","Molek Regency","Persiaran Bumi Hijau, Johor Bahru, Johor","Non Landed","Studio","1 bath","1 carpark","RM 515/sqft","",""
"1647922438-11466","https://www.edgeprop.my/buy/johor/all-residential?page=334","RM 590,000EdgeProp Only","Taman Nusa Indah","Jalan Ceria, Iskandar Puteri (Nusajaya), Johor","Landed","4 beds","3 bath","RM 383/sqft","1,540 sqft","",""
"1647924217-16760","https://www.edgeprop.my/buy/johor/all-residential?page=69","RM 260,000EdgeProp Only","Indah Court Apartment","Jalan 23/2, Taman Bukit Indah, Bukit Indah, Johor","Non Landed","- beds","- bath","RM 305/sqft","850 sqft","",""
"1647921095-6944","https://www.edgeprop.my/buy/johor/all-residential?page=560","RM 430,000EdgeProp Only","Taman Mutiara Rini","Off Jalan Gelang Patah, Skudai, Johor","Landed","3 beds","3 bath","RM 228/sqft","1,883 sqft","",""
